"shortcode","framework","category","name","gradeband"
"1.L.1",3,12,"Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.",9
"1.L.1.a",3,12,"Print all upper- and lowercase letters.",9
"1.L.1.b",3,12,"Use common, proper, and possessive nouns.",9
"1.L.1.c",3,12,"Use singular and plural nouns with matching verbs in basic sentences (e.g., He hops; We hop).",9
"1.L.1.d",3,12,"Use personal, possessive, and indefinite pronouns (e.g., I, me, my; they, them, their, anyone, everything).",9
"1.L.1.e",3,12,"Use verbs to convey a sense of past, present, and future (e.g., Yesterday I walked home; Today I walk home; Tomorrow I will walk home).",9
"1.L.1.f",3,12,"Use frequently occurring adjectives.",9
"1.L.1.g",3,12,"Use frequently occurring conjunctions (e.g., and, but, or, so, because).",9
"1.L.1.h",3,12,"Use determiners (e.g., articles, demonstratives).",9
"1.L.1.i",3,12,"Use frequently occurring prepositions (e.g., during, beyond, toward).",9
"1.L.1.j",3,12,"Produce and expand complete simple and compound declarative, interrogative, imperative, and exclamatory sentences in response to prompts.",9
"1.L.2",3,12,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",9
"1.L.2.a",3,12,"Capitalize dates and names of people.",9
"1.L.2.b",3,12,"Use end punctuation for sentences.",9
"1.L.2.c",3,12,"Use commas in dates and to separate single words in a series.",9
"1.L.2.d",3,12,"Use conventional spelling for words with common spelling patterns and for frequently occurring irregular words.",9
"1.L.2.e",3,12,"Spell untaught words phonetically, drawing on phonemic awareness and spelling conventions.",9
"1.L.3",3,12,"(Begins in grade 2)",9
"1.L.4",3,12,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 1 reading and content, choosing flexibly from an array of strategies.",9
"1.L.4.a",3,12,"Use sentence-level context as a clue to the meaning of a word or phrase.",9
"1.L.4.b",3,12,"Use frequently occurring affixes as a clue to the meaning of a word.",9
"1.L.4.c",3,12,"Identify frequently occurring root words (e.g., look) and their inflectional forms (e.g., looks, looked, looking).",9
"1.L.5",3,12,"With guidance and support from adults, demonstrate understanding of figurative language, word relationships and nuances in word meanings.",9
"1.L.5.a",3,12,"Sort words into categories (e.g., colors, clothing) to gain a sense of the concepts the categories represent.",9
"1.L.5.b",3,12,"Define words by category and by one or more key attributes (e.g., a duck is a bird that swims; a tiger is a large cat with stripes).",9
"1.L.5.c",3,12,"Identify real-life connections between words and their use (e.g., note places at home that are cozy).",9
"1.L.5.d",3,12,"Distinguish shades of meaning among verbs differing in manner (e.g., look, peek, glance, stare, glare, scowl) and adjectives differing in intensity (e.g., large, gigantic) by defining or choosing them or by acting out the meanings.",9
"1.L.6",3,12,"Use words and phrases acquired through conversations, reading and being read to, and responding to texts, including using frequently occurring conjunctions to signal simple relationships (e.g., because).",9
"1.RF.1",3,13,"Demonstrate understanding of the organization and basic features of print.",9
"1.RF.1.a",3,13,"Recognize the distinguishing features of a sentence (e.g., first word, capitalization, ending punctuation).",9
"1.RF.2",3,13,"Demonstrate understanding of spoken words, syllables, and sounds (phonemes).",9
"1.RF.2.a",3,13,"Distinguish long from short vowel sounds in spoken single-syllable words.",9
"1.RF.2.b",3,13,"Orally produce single-syllable words by blending sounds (phonemes), including consonant blends.",9
"1.RF.2.c",3,13,"Isolate and pronounce initial, medial vowel, and final sounds (phonemes) in spoken single-syllable words.",9
"1.RF.2.d",3,13,"Segment spoken single-syllable words into their complete sequence of individual sounds (phonemes).",9
"1.RF.3",3,13,"Know and apply grade-level phonics and word analysis skills in decoding words.",9
"1.RF.3.a",3,13,"Know the spelling-sound correspondences for common consonant digraphs.",9
"1.RF.3.b",3,13,"Decode regularly spelled one-syllable words.",9
"1.RF.3.c",3,13,"Know final -e and common vowel team conventions for representing long vowel sounds.",9
"1.RF.3.d",3,13,"Use knowledge that every syllable must have a vowel sound to determine the number of syllables in a printed word.",9
"1.RF.3.e",3,13,"Decode two-syllable words following basic patterns by breaking the words into syllables.",9
"1.RF.3.f",3,13,"Read words with inflectional endings.",9
"1.RF.3.g",3,13,"Recognize and read grade-appropriate irregularly spelled words.",9
"1.RF.4",3,13,"Read with sufficient accuracy and fluency to support comprehension.",9
"1.RF.4.a",3,13,"Read on-level text with purpose and understanding.",9
"1.RF.4.b",3,13,"Read on-level text orally with accuracy, appropriate rate, and expression on successive readings.",9
"1.RF.4.c",3,13,"Use context to confirm or self-correct word recognition and understanding, rereading as necessary.",9
"1.RI.1",3,15,"Ask and answer questions about key details in a text.",9
"1.RI.10",3,15,"With prompting and support, read informational texts appropriately complex for grade 1.",9
"1.RI.2",3,15,"Identify the main topic and retell key details of a text.",9
"1.RI.3",3,15,"Describe the connection between two individuals, events, ideas, or pieces of information in a text.",9
"1.RI.4",3,15,"Ask and answer questions to help determine or clarify the meaning of words and phrases in a text.",9
"1.RI.5",3,15,"Know and use various text features (e.g., headings, tables of contents, glossaries, electronic menus, icons) to locate key facts or information in a text.",9
"1.RI.6",3,15,"Distinguish between information provided by pictures or other illustrations and information provided by the words in a text.",9
"1.RI.7",3,15,"Use the illustrations and details in a text to describe its key ideas.",9
"1.RI.8",3,15,"Identify the reasons an author gives to support points in a text.",9
"1.RI.9",3,15,"Identify basic similarities in and differences between two texts on the same topic (e.g., in illustrations, descriptions, or procedures).",9
"1.RL.1",3,16,"Ask and answer questions about key details in a text.",9
"1.RL.10",3,16,"With prompting and support, read prose and poetry of appropriate complexity for grade 1.",9
"1.RL.2",3,16,"Retell stories, including key details, and demonstrate understanding of their central message or lesson.",9
"1.RL.3",3,16,"Describe characters, settings, and major events in a story, using key details.",9
"1.RL.4",3,16,"Identify words and phrases in stories or poems that suggest feelings or appeal to the senses.",9
"1.RL.5",3,16,"Explain major differences between books that tell stories and books that give information, drawing on a wide reading of a range of text types.",9
"1.RL.6",3,16,"Identify who is telling the story at various points in a text.",9
"1.RL.7",3,16,"Use illustrations and details in a story to describe its characters, setting, or events.",9
"1.RL.8",3,16,"(Not applicable to literature)",9
"1.RL.9",3,16,"Compare and contrast the adventures and experiences of characters in stories.",9
"1.SL.1",3,18,"Participate in collaborative conversations with diverse partners about grade 1 topics and texts with peers and adults in small and larger groups.",9
"1.SL.1.a",3,18,"Follow agreed-upon rules for discussions (e.g., listening to others with care, speaking one at a time about the topics and texts under discussion).",9
"1.SL.1.b",3,18,"Build on others’ talk in conversations by responding to the comments of others through multiple exchanges.",9
"1.SL.1.c",3,18,"Ask questions to clear up any confusion about the topics and texts under discussion.",9
"1.SL.2",3,18,"Ask and answer questions about key details in a text read aloud or information presented orally or through other media.",9
"1.SL.3",3,18,"Ask and answer questions about what a speaker says in order to gather additional information or clarify something that is not understood.",9
"1.SL.4",3,18,"Describe people, places, things, and events with relevant details, expressing ideas and feelings clearly.",9
"1.SL.5",3,18,"Add drawings or other visual displays to descriptions when appropriate to clarify ideas, thoughts, and feelings.",9
"1.SL.6",3,18,"Produce complete sentences when appropriate to task and situation.",9
"1.W.1",3,19,"Write opinion pieces in which they introduce the topic or name the book they are writing about, state an opinion, supply a reason for the opinion, and provide some sense of closure.",9
"1.W.10",3,19,"(Begins in grade 3)",9
"1.W.2",3,19,"Write informative/explanatory texts in which they name a topic, supply some facts about the topic, and provide some sense of closure.",9
"1.W.3",3,19,"Write narratives in which they recount two or more appropriately sequenced events, include some details regarding what happened, use temporal words to signal event order, and provide some sense of closure.",9
"1.W.4",3,19,"(Begins in grade 3)",9
"1.W.5",3,19,"With guidance and support from adults, focus on a topic, respond to questions and suggestions from peers, and add details to strengthen writing as needed.",9
"1.W.6",3,19,"With guidance and support from adults, use a variety of digital tools to produce and publish writing, including in collaboration with peers.",9
"1.W.7",3,19,"Participate in shared research and writing projects (e.g., explore a number of “how-to” books on a given topic and use them to write a sequence of instructions).",9
"1.W.8",3,19,"With guidance and support from adults, recall information from experiences or gather information from provided sources to answer a question.",9
"1.W.9",3,19,"(Begins in grade 4)",9
"11-12.L.1",3,12,"Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.",19
"11-12.L.1.a",3,12,"Apply the understanding that usage is a matter of convention, can change over time, and is sometimes contested.",19
