"id_s!","family_s*","family_short_s","gradeband_s*","category_s","desc_t","band","code"
"1.L.1","Common Core English Language Arts Standards","CC ELA","K-2","Language","Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.","1","Err:511"
"1.L.1.a","Common Core English Language Arts Standards","CC ELA","K-2","Language","Print all upper- and lowercase letters.","1",
"1.L.1.b","Common Core English Language Arts Standards","CC ELA","K-2","Language","Use common, proper, and possessive nouns.","1",
"1.L.1.c","Common Core English Language Arts Standards","CC ELA","K-2","Language","Use singular and plural nouns with matching verbs in basic sentences (e.g., He hops; We hop).","1",
"1.L.1.d","Common Core English Language Arts Standards","CC ELA","K-2","Language","Use personal, possessive, and indefinite pronouns (e.g., I, me, my; they, them, their, anyone, everything).","1",
"1.L.1.e","Common Core English Language Arts Standards","CC ELA","K-2","Language","Use verbs to convey a sense of past, present, and future (e.g., Yesterday I walked home; Today I walk home; Tomorrow I will walk home).","1",
"1.L.1.f","Common Core English Language Arts Standards","CC ELA","K-2","Language","Use frequently occurring adjectives.","1",
"1.L.1.g","Common Core English Language Arts Standards","CC ELA","K-2","Language","Use frequently occurring conjunctions (e.g., and, but, or, so, because).","1",
"1.L.1.h","Common Core English Language Arts Standards","CC ELA","K-2","Language","Use determiners (e.g., articles, demonstratives).","1",
"1.L.1.i","Common Core English Language Arts Standards","CC ELA","K-2","Language","Use frequently occurring prepositions (e.g., during, beyond, toward).","1",
"1.L.1.j","Common Core English Language Arts Standards","CC ELA","K-2","Language","Produce and expand complete simple and compound declarative, interrogative, imperative, and exclamatory sentences in response to prompts.","1",
"1.L.2","Common Core English Language Arts Standards","CC ELA","K-2","Language","Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.","1",
"1.L.2.a","Common Core English Language Arts Standards","CC ELA","K-2","Language","Capitalize dates and names of people.","1",
"1.L.2.b","Common Core English Language Arts Standards","CC ELA","K-2","Language","Use end punctuation for sentences.","1",
"1.L.2.c","Common Core English Language Arts Standards","CC ELA","K-2","Language","Use commas in dates and to separate single words in a series.","1",
"1.L.2.d","Common Core English Language Arts Standards","CC ELA","K-2","Language","Use conventional spelling for words with common spelling patterns and for frequently occurring irregular words.","1",
"1.L.2.e","Common Core English Language Arts Standards","CC ELA","K-2","Language","Spell untaught words phonetically, drawing on phonemic awareness and spelling conventions.","1",
"1.L.3","Common Core English Language Arts Standards","CC ELA","K-2","Language","(Begins in grade 2)","1",
"1.L.4","Common Core English Language Arts Standards","CC ELA","K-2","Language","Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 1 reading and content, choosing flexibly from an array of strategies.","1",
"1.L.4.a","Common Core English Language Arts Standards","CC ELA","K-2","Language","Use sentence-level context as a clue to the meaning of a word or phrase.","1",
"1.L.4.b","Common Core English Language Arts Standards","CC ELA","K-2","Language","Use frequently occurring affixes as a clue to the meaning of a word.","1",
"1.L.4.c","Common Core English Language Arts Standards","CC ELA","K-2","Language","Identify frequently occurring root words (e.g., look) and their inflectional forms (e.g., looks, looked, looking).","1",
"1.L.5","Common Core English Language Arts Standards","CC ELA","K-2","Language","With guidance and support from adults, demonstrate understanding of figurative language, word relationships and nuances in word meanings.","1",
"1.L.5.a","Common Core English Language Arts Standards","CC ELA","K-2","Language","Sort words into categories (e.g., colors, clothing) to gain a sense of the concepts the categories represent.","1",
"1.L.5.b","Common Core English Language Arts Standards","CC ELA","K-2","Language","Define words by category and by one or more key attributes (e.g., a duck is a bird that swims; a tiger is a large cat with stripes).","1",
"1.L.5.c","Common Core English Language Arts Standards","CC ELA","K-2","Language","Identify real-life connections between words and their use (e.g., note places at home that are cozy).","1",
"1.L.5.d","Common Core English Language Arts Standards","CC ELA","K-2","Language","Distinguish shades of meaning among verbs differing in manner (e.g., look, peek, glance, stare, glare, scowl) and adjectives differing in intensity (e.g., large, gigantic) by defining or choosing them or by acting out the meanings.","1",
"1.L.6","Common Core English Language Arts Standards","CC ELA","K-2","Language","Use words and phrases acquired through conversations, reading and being read to, and responding to texts, including using frequently occurring conjunctions to signal simple relationships (e.g., because).","1",
"1.RF.1","Common Core English Language Arts Standards","CC ELA","K-2","Reading Foundational Skills","Demonstrate understanding of the organization and basic features of print.","1",
"1.RF.1.a","Common Core English Language Arts Standards","CC ELA","K-2","Reading Foundational Skills","Recognize the distinguishing features of a sentence (e.g., first word, capitalization, ending punctuation).","1",
"1.RF.2","Common Core English Language Arts Standards","CC ELA","K-2","Reading Foundational Skills","Demonstrate understanding of spoken words, syllables, and sounds (phonemes).","1",
"1.RF.2.a","Common Core English Language Arts Standards","CC ELA","K-2","Reading Foundational Skills","Distinguish long from short vowel sounds in spoken single-syllable words.","1",
"1.RF.2.b","Common Core English Language Arts Standards","CC ELA","K-2","Reading Foundational Skills","Orally produce single-syllable words by blending sounds (phonemes), including consonant blends.","1",
"1.RF.2.c","Common Core English Language Arts Standards","CC ELA","K-2","Reading Foundational Skills","Isolate and pronounce initial, medial vowel, and final sounds (phonemes) in spoken single-syllable words.","1",
"1.RF.2.d","Common Core English Language Arts Standards","CC ELA","K-2","Reading Foundational Skills","Segment spoken single-syllable words into their complete sequence of individual sounds (phonemes).","1",
"1.RF.3","Common Core English Language Arts Standards","CC ELA","K-2","Reading Foundational Skills","Know and apply grade-level phonics and word analysis skills in decoding words.","1",
"1.RF.3.a","Common Core English Language Arts Standards","CC ELA","K-2","Reading Foundational Skills","Know the spelling-sound correspondences for common consonant digraphs.","1",
"1.RF.3.b","Common Core English Language Arts Standards","CC ELA","K-2","Reading Foundational Skills","Decode regularly spelled one-syllable words.","1",
"1.RF.3.c","Common Core English Language Arts Standards","CC ELA","K-2","Reading Foundational Skills","Know final -e and common vowel team conventions for representing long vowel sounds.","1",
"1.RF.3.d","Common Core English Language Arts Standards","CC ELA","K-2","Reading Foundational Skills","Use knowledge that every syllable must have a vowel sound to determine the number of syllables in a printed word.","1",
"1.RF.3.e","Common Core English Language Arts Standards","CC ELA","K-2","Reading Foundational Skills","Decode two-syllable words following basic patterns by breaking the words into syllables.","1",
"1.RF.3.f","Common Core English Language Arts Standards","CC ELA","K-2","Reading Foundational Skills","Read words with inflectional endings.","1",
"1.RF.3.g","Common Core English Language Arts Standards","CC ELA","K-2","Reading Foundational Skills","Recognize and read grade-appropriate irregularly spelled words.","1",
"1.RF.4","Common Core English Language Arts Standards","CC ELA","K-2","Reading Foundational Skills","Read with sufficient accuracy and fluency to support comprehension.","1",
"1.RF.4.a","Common Core English Language Arts Standards","CC ELA","K-2","Reading Foundational Skills","Read on-level text with purpose and understanding.","1",
"1.RF.4.b","Common Core English Language Arts Standards","CC ELA","K-2","Reading Foundational Skills","Read on-level text orally with accuracy, appropriate rate, and expression on successive readings.","1",
"1.RF.4.c","Common Core English Language Arts Standards","CC ELA","K-2","Reading Foundational Skills","Use context to confirm or self-correct word recognition and understanding, rereading as necessary.","1",
"1.RI.1","Common Core English Language Arts Standards","CC ELA","K-2","Reading Informational","Ask and answer questions about key details in a text.","1",
"1.RI.10","Common Core English Language Arts Standards","CC ELA","K-2","Reading Informational","With prompting and support, read informational texts appropriately complex for grade 1.","1",
"1.RI.2","Common Core English Language Arts Standards","CC ELA","K-2","Reading Informational","Identify the main topic and retell key details of a text.","1",
"1.RI.3","Common Core English Language Arts Standards","CC ELA","K-2","Reading Informational","Describe the connection between two individuals, events, ideas, or pieces of information in a text.","1",
