category(Category|shortcode),name,description,gradeband(Gradeband|pk),shortcode
CL,"Use productivity technology tools (e.g., word proc","Use productivity technology tools (e.g., word processing, spreadsheet, presentation software) for individual and collaborative writing, communication and publishing activities.",4,6-01
CL,"Use online resources (e.g., email, online discussi","Use online resources (e.g., email, online discussions, collaborative web environments) to participate in collaborative problem-solving activities for the purpose of developing solutions or products.",4,6-02
CL,Identify ways that teamwork and collaboration can ,Identify ways that teamwork and collaboration can support problem solving and innovation.,4,6-03
CD,Demonstrate an appropriate level of proficiency wi,Demonstrate an appropriate level of proficiency with keyboards and other input and output devices.,4,6-01
CD,Understand the pervasiveness of computers and comp,"Understand the pervasiveness of computers and computing in daily life (e.g., voicemail, downloading videos and audio files, microwave ovens, thermostats, wireless Internet, mobile computing devices, GPS systems).",4,6-02
CD,Apply strategies for identifying simple hardware a,Apply strategies for identifying simple hardware and software problems that may occur during use.,4,6-03
CD,Identify that information is coming to the compute,Identify that information is coming to the computer from many sources over a network.,4,6-04
CD,Identify factors that distinguish humans from mach,Identify factors that distinguish humans from machines.,4,6-05
CD,Recognize that computers model intelligent behavio,"Recognize that computers model intelligent behavior (as found in robotics, speech and language recognition and computer animation).",4,6-06
CI,Discuss basic issues related to responsible use of,Discuss basic issues related to responsible use of technology and information and the consequences of inappropriate use.,4,6-01
CI,"Identify the impact of technology (e.g., social ne","Identify the impact of technology (e.g., social networking, cyber bullying, mobile computing and communication, web technologies, cyber security and virtualization) on personal life and society.",4,6-02
CI,"Evaluate the accuracy, relevance, appropriateness,","Evaluate the accuracy, relevance, appropriateness, comprehensiveness and biases that occur in electronic information sources.",4,6-03
CI,Understand ethical issues that relate to computers,"Understand ethical issues that relate to computers and networks (e.g., equity of access, security, privacy, copyright and intellectual property).",4,6-04
CPP,"Use technology resources (e.g., calculators, data ","Use technology resources (e.g., calculators, data collection probes, mobile devices, videos, educational software and web tools) for problem-solving and self-directed learning.",4,6-01
CPP,Use general-purpose productivity tools and periphe,"Use general-purpose productivity tools and peripherals to support personal productivity, remediate skill deficits and facilitate learning.",4,6-02
CPP,"Use technology tools (e.g., multimedia and text au","Use technology tools (e.g., multimedia and text authoring, presentation, web tools, digital cameras and scanners) for individual and collaborative writing, communication and publishing activities.",4,6-03
CPP,Gather and manipulate data using a variety of digi,Gather and manipulate data using a variety of digital tools.,4,6-04
CPP,Construct a program as a set of step-by-step instr,"Construct a program as a set of step-by-step instructions to be acted out (e.g., make peanut butter and jelly sandwich activity).",4,6-05
CPP,Implement problem solutions using a block based vi,Implement problem solutions using a block based visual programming language.,4,6-06
CPP,Use computing devices to access remote information,"Use computing devices to access remote information, communicate with others in support of direct and independent learning and pursue personal interests.",4,6-07
CPP,Navigate between webpages using hyperlinks and con,Navigate between webpages using hyperlinks and conduct simple searches using search engines.,4,6-08
CPP,Identify a wide range of jobs that require knowled,Identify a wide range of jobs that require knowledge or use of computing.,4,6-09
CPP,Gather and manipulate data using a variety of digi,Gather and manipulate data using a variety of digital tools.,4,6-10
CT,Understand and use the basic steps in algorithmic ,"Understand and use the basic steps in algorithmic problem-solving (e.g., problem statement and exploration, examination of sample instances, design, implementation and testing).",4,6-01
CT,Develop a simple understanding of an algorithm (e.,"Develop a simple understanding of an algorithm (e.g., search, sequence of events or sorting) using computer-free exercises.",4,6-02
CT,Demonstrate how a string of bits can be used to re,Demonstrate how a string of bits can be used to represent alphanumeric information.,4,6-03
CT,Describe how a simulation can be used to solve a p,Describe how a simulation can be used to solve a problem.,4,6-04
CT,Make a list of sub-problems to consider while addr,Make a list of sub-problems to consider while addressing a larger problem.,4,6-05
CT,Understand the connections between computer scienc,Understand the connections between computer science and other fields.,4,6-06
CL,Apply productivity/ multimedia tools and periphera,Apply productivity/ multimedia tools and peripherals to group collaboration and support learning throughout the curriculum.,2,01
CL,"Collaboratively design, develop, publish and prese","Collaboratively design, develop, publish and present products (e.g., videos, podcasts, websites) using technology resources that demonstrate and communicate curriculum. concepts.",2,02
CL,"Collaborate with peers, experts and others using c","Collaborate with peers, experts and others using collaborative practices such as pair programming, working in project teams and participating in-group active learning activities.",2,03
CL,Exhibit dispositions necessary for collaboration: ,"Exhibit dispositions necessary for collaboration: providing useful feedback, integrating feedback, understanding and accepting multiple perspectives, socialization.",2,04
CD,Recognize that computers are devices that execute ,Recognize that computers are devices that execute programs.,2,01
CD,Identify a variety of electronic devices that cont,Identify a variety of electronic devices that contain computational processors.,2,02
CD,Demonstrate an understanding of the relationship b,Demonstrate an understanding of the relationship between hardware and software.,2,03
CD,"Use developmentally appropriate, accurate terminol","Use developmentally appropriate, accurate terminology when communicating about technology.",2,04
CD,Apply strategies for identifying and solving routi,Apply strategies for identifying and solving routine hardware problems that occur during everyday computer use.,2,05
CD,Describe the major components and functions of com,Describe the major components and functions of computer systems and networks.,2,06
CD,"Describe what distinguishes humans from machines, ","Describe what distinguishes humans from machines, focusing on human intelligence versus machine intelligence and ways we can communicate.",2,07
CD,Describe ways in which computers use models of int,"Describe ways in which computers use models of intelligent behavior (e.g., robot motion, speech and language understanding, and computer vision).",2,08
CI,Exhibit legal and ethical behaviors when using inf,Exhibit legal and ethical behaviors when using information and technology and discuss the consequences of misuse.,2,01
CI,Demonstrate knowledge of changes in information te,"Demonstrate knowledge of changes in information technologies over time and the effects those changes have on education, the workplace and society.",2,02
CI,Analyze the positive and negative impacts of compu,Analyze the positive and negative impacts of computing on human culture.,2,03
CI,"Evaluate the accuracy, relevance, appropriateness,","Evaluate the accuracy, relevance, appropriateness, comprehensiveness and bias of electronic information sources concerning real-world problems.",2,04
CI,Describe ethical issues that relate to computers a,"Describe ethical issues that relate to computers and networks (e.g., security, privacy, ownership and information sharing).",2,05
CI,Discuss how the unequal distribution of computing ,"Discuss how the unequal distribution of computing resources in a global economy raises issues of equity, access and power.",2,06
CPP,Select appropriate tools and technology resources ,Select appropriate tools and technology resources to accomplish a variety of tasks and solve problems.,2,01
CPP,Use a variety of multimedia tools and peripherals ,Use a variety of multimedia tools and peripherals to support personal productivity and learning throughout the curriculum.,2,02
CPP,"Design, develop, publish and present products (e.g","Design, develop, publish and present products (e.g., web pages, mobile applications, animations) using technology resources that demonstrate and communicate curriculum concepts.",2,03
CPP,Demonstrate an understanding of algorithms and the,Demonstrate an understanding of algorithms and their practical application.,2,04
CPP,Implement problem solutions using a programming la,"Implement problem solutions using a programming language, including: looping behavior, conditional statements, logic, expressions, variables and functions.",2,05
CPP,Demonstrate good practices in personal information,"Demonstrate good practices in personal information security, using passwords, encryption and secure transactions.",2,06
CPP,Identify interdisciplinary careers that are enhanc,Identify interdisciplinary careers that are enhanced by computer science.,2,07
CPP,Demonstrate dispositions amenable to open-ended pr,"Demonstrate dispositions amenable to open-ended problem solving and programming (e.g., comfort with complexity, persistence, brainstorming, adaptability, patience, propensity to tinker, creativity, accepting challenge).",2,08
CPP,Collect and analyze data that is output from multi,Collect and analyze data that is output from multiple runs of a computer program.,2,09
CT,Use the basic steps in algorithmic problem-solving,"Use the basic steps in algorithmic problem-solving to design solutions (e.g., problem statement and exploration, examination of sample instances, design, implementing a solution, testing and evaluation).",2,01
CT,Describe the process of parallelization as it rela,Describe the process of parallelization as it relates to problem solving.,2,02
CT,Define an algorithm as a sequence of instructions ,Define an algorithm as a sequence of instructions that can be processed by a computer.,2,03
CT,Evaluate ways that different algorithms may be use,Evaluate ways that different algorithms may be used to solve the same problem.,2,04
CT,Act out searching and sorting algorithms.,Act out searching and sorting algorithms.,2,05
CT,Describe and analyze a sequence of instructions be,"Describe and analyze a sequence of instructions being followed (e.g., describe a character‰Ûªs behavior in a video game as driven by rules and algorithms).",2,06
CT,Represent data in a variety of ways including text,"Represent data in a variety of ways including text, sounds, pictures and numbers.",2,07
CT,"Use visual representations of problem states, stru","Use visual representations of problem states, structures and data (e.g., graphs, charts, network diagrams, flowcharts).",2,08
CT,Interact with content-specific models and simulati,"Interact with content-specific models and simulations (e.g., ecosystems, epidemics, molecular dynamics) to support learning and research.",2,09
CT,Evaluate what kinds of problems can be solved usin,Evaluate what kinds of problems can be solved using modeling and simulation.,2,10
CT,Analyze the degree to which a computer model accur,Analyze the degree to which a computer model accurately represents the real world.,2,11
CT,Use abstraction to decompose a problem into sub pr,Use abstraction to decompose a problem into sub problems.,2,12
CT,Understand the notion of hierarchy and abstraction,"Understand the notion of hierarchy and abstraction in computing including high level languages, translation, instruction set and logic circuits.",2,13
CT,Examine connections between elements of mathematic,"Examine connections between elements of mathematics and computer science including binary numbers, logic, sets and functions.",2,14
CT,Provide examples of interdisciplinary applications,Provide examples of interdisciplinary applications of computational thinking.,2,15
CL,Work in a team to design and develop a software ar,Work in a team to design and develop a software artifact.,5,01
CL,Use collaborative tools to communicate with projec,"Use collaborative tools to communicate with project team members (e.g., discussion threads, wikis, blogs, version control, etc.).",5,02
CL,Describe how computing enhances traditional forms ,"Describe how computing enhances traditional forms and enables new forms of experience, expression, communication, and collaboration.",5,03
CL,Identify how collaboration influences the design a,Identify how collaboration influences the design and development of software products.,5,04
CD,Describe the unique features of computers embedded,"Describe the unique features of computers embedded in mobile devices and vehicles (e.g., cell phones, automobiles, airplanes).",5,01
CD,Develop criteria for purchasing or upgrading compu,Develop criteria for purchasing or upgrading computer system hardware.,5,02
CD,Describe the principal components of computer orga,"Describe the principal components of computer organization (e.g., input, output, processing, and storage).",5,03
CD,Compare various forms of input and output.,Compare various forms of input and output.,5,04
CD,Explain the multiple levels of hardware and softwa,"Explain the multiple levels of hardware and software that support program execution (e.g., compilers, interpreters, operating systems, networks).",5,05
CD,Apply strategies for identifying and solving routi,Apply strategies for identifying and solving routine hardware and software problems that occur in everyday life.,5,06
CD,Compare and contrast client-server and peer-to-pee,Compare and contrast client-server and peer-to-peer network strategies.,5,07
CD,Explain the basic components of computer networks ,"Explain the basic components of computer networks (e.g., servers, file protection, routing, spoolers and queues, shared resources, and fault-tolerance).",5,08
CD,Describe how the Internet facilitates global commu,Describe how the Internet facilitates global communication.,5,09
CD,Describe the major applications of artificial inte,Describe the major applications of artificial intelligence and robotics.,5,10
CI,Compare appropriate and inappropriate social netwo,Compare appropriate and inappropriate social networking behaviors.,5,01
CI,Discuss the impact of computing technology on busi,"Discuss the impact of computing technology on business and commerce (e.g., automated tracking of goods, automated financial transactions, e-commerce, cloud computing).",5,02
CI,Describe the role that adaptive technology can pla,Describe the role that adaptive technology can play in the lives of people with special needs.,5,03
CI,Compare the positive and negative impacts of techn,"Compare the positive and negative impacts of technology on culture (e.g., social networking, delivery of news and other public media, and intercultural communication).",5,04
CI,Describe strategies for determining the reliabilit,Describe strategies for determining the reliability of information found on the Internet.,5,05
CI,Differentiate between information access and infor,Differentiate between information access and information distribution rights.,5,06
CI,Describe how different kinds of software licenses ,Describe how different kinds of software licenses can be used to share and protect intellectual property.,5,07
CI,Discuss the social and economic implications assoc,Discuss the social and economic implications associated with hacking and software piracy.,5,08
CI,Describe different ways in which software is creat,"Describe different ways in which software is created and shared and their benefits and drawbacks (commercial software, public domain software, open source development).",5,09
CI,Describe security and privacy issues that relate t,Describe security and privacy issues that relate to computer networks.,5,10
CI,Explain the impact of the digital divide on access,Explain the impact of the digital divide on access to critical information.,5,11
CPP,Create and organize web pages through the use of a,Create and organize web pages through the use of a variety of web programming design tools.,5,01
CPP,"Use mobile devices/ emulators to design, develop, ","Use mobile devices/ emulators to design, develop, and implement mobile computing applications.",5,02
CPP,Use various debugging and testing methods to ensur,"Use various debugging and testing methods to ensure program correctness (e.g., test cases, unit testing, white box, black box, integration testing)",5,03
CPP,"Apply analysis, design, and implementation techniq","Apply analysis, design, and implementation techniques to solve problems (e.g., use one or more software lifecycle models).",5,04
CPP,Use Application Program Interfaces (APIs) and libr,Use Application Program Interfaces (APIs) and libraries to facilitate programming solutions.,5,05
CPP,Select appropriate file formats for various types ,Select appropriate file formats for various types and uses of data.,5,06
CPP,Describe a variety of programming languages availa,Describe a variety of programming languages available to solve problems and develop systems.,5,07
CPP,Explain the program execution process.,Explain the program execution process.,5,08
CPP,Explain the principles of security by examining en,"Explain the principles of security by examining encryption, cryptography, and authentication techniques.",5,09
CPP,Explore a variety of careers to which computing is,Explore a variety of careers to which computing is central.,5,10
CPP,Describe techniques for locating and collecting sm,Describe techniques for locating and collecting small and large-scale data sets.,5,11
